Size: 50

['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

Nearest Neighbors (accuracy): [0.5700000000000001, 0.58, 0.8, 0.4, 0.52, 0.4, 0.5, 0.32, 0.62, 0.44, 0.46]

Decision Tree (accuracy): [0.73, 0.6, 0.46, 0.66, 0.64, 0.64, 0.56, 0.64, 0.68, 0.6, 0.68]

Random Forest (accuracy): [0.8200000000000001, 0.66, 0.64, 0.74, 0.82, 0.72, 0.82, 0.7, 0.78, 0.72, 0.76]

AdaBoost (RF) (accuracy): [0.8400000000000001, 0.7, 0.62, 0.76, 0.82, 0.72, 0.82, 0.72, 0.8, 0.7, 0.72]

LightGBM (accuracy): [0.8099999999999999, 0.74, 0.66, 0.72, 0.74, 0.78, 0.74, 0.64, 0.54, 0.62, 0.72]

Nearest Neighbors (auc): [0.6366666666666667, 0.5737179487179487, 0.6652806652806653, 0.38003220611916266, 0.48863636363636365, 0.4, 0.49198717948717946, 0.3381642512077294, 0.5178571428571428, 0.4074675324675324, 0.4935064935064935]

Decision Tree (auc): [0.7158333333333333, 0.6073717948717948, 0.5353430353430354, 0.6626409017713366, 0.6542207792207791, 0.64, 0.5641025641025642, 0.6280193236714976, 0.6686507936507936, 0.6038961038961039, 0.6753246753246753]

Random Forest (auc): [0.899, 0.6634615384615384, 0.7068607068607069, 0.7431561996779389, 0.8246753246753247, 0.7200000000000001, 0.8189102564102564, 0.6996779388083736, 0.7380952380952381, 0.7012987012987012, 0.7808441558441559]

AdaBoost (RF) (auc): [0.8989166666666668, 0.701923076923077, 0.6683991683991684, 0.7584541062801932, 0.8246753246753247, 0.7200000000000001, 0.8173076923076923, 0.7181964573268921, 0.751984126984127, 0.6737012987012987, 0.7353896103896105]

LightGBM (auc): [0.8963333333333334, 0.7435897435897436, 0.6954261954261953, 0.7246376811594203, 0.7386363636363636, 0.78, 0.7419871794871794, 0.6312399355877616, 0.5277777777777778, 0.612012987012987, 0.7256493506493507]

Nearest Neighbors (precision): [0.5923412698412698, 0.5757575757575758, 0.813953488372093, 0.4594594594594595, 0.5526315789473685, 0.42424242424242425, 0.5142857142857142, 0.35135135135135137, 0.7297297297297297, 0.5, 0.4358974358974359]

Decision Tree (precision): [0.8058333333333334, 0.6875, 0.7777777777777778, 0.7083333333333334, 0.75, 0.7058823529411765, 0.6, 0.6470588235294118, 0.8333333333333334, 0.6666666666666666, 0.6363636363636364]

Random Forest (precision): [0.8504761904761906, 0.7142857142857143, 0.9130434782608695, 0.7916666666666666, 0.88, 0.7894736842105263, 0.8148148148148148, 0.6666666666666666, 0.8571428571428571, 0.7058823529411765, 0.65625]

AdaBoost (RF) (precision): [0.8657142857142859, 0.7391304347826086, 0.875, 0.7777777777777778, 0.88, 0.7391304347826086, 0.7931034482758621, 0.6956521739130435, 0.8611111111111112, 0.6756756756756757, 0.6333333333333333]

LightGBM (precision): [0.8347619047619048, 0.8095238095238095, 0.8846153846153846, 0.782608695652174, 0.7777777777777778, 0.85, 0.782608695652174, 0.631578947368421, 0.7407407407407407, 0.6551724137931034, 0.6538461538461539]

Nearest Neighbors (recall): [0.6666666666666666, 0.7307692307692307, 0.9459459459459459, 0.6296296296296297, 0.75, 0.56, 0.6923076923076923, 0.5652173913043478, 0.75, 0.6785714285714286, 0.7727272727272727]

Decision Tree (recall): [0.7466666666666667, 0.4230769230769231, 0.3783783783783784, 0.6296296296296297, 0.5357142857142857, 0.48, 0.46153846153846156, 0.4782608695652174, 0.6944444444444444, 0.5714285714285714, 0.6363636363636364]

Random Forest (recall): [0.8566666666666667, 0.5769230769230769, 0.5675675675675675, 0.7037037037037037, 0.7857142857142857, 0.6, 0.8461538461538461, 0.6956521739130435, 0.8333333333333334, 0.8571428571428571, 0.9545454545454546]

AdaBoost (RF) (recall): [0.8766666666666666, 0.6538461538461539, 0.5675675675675675, 0.7777777777777778, 0.7857142857142857, 0.68, 0.8846153846153846, 0.6956521739130435, 0.8611111111111112, 0.8928571428571429, 0.8636363636363636]

LightGBM (recall): [0.8433333333333334, 0.6538461538461539, 0.6216216216216216, 0.6666666666666666, 0.75, 0.68, 0.6923076923076923, 0.5217391304347826, 0.5555555555555556, 0.6785714285714286, 0.7727272727272727]

