['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']
Nearest Neighbors (accuracy): [0.93688, 0.78384, 0.70084, 0.69692, 0.65548, 0.70792, 0.67648, 0.65908, 0.63712, 0.71436, 0.69472]
Decision Tree (accuracy): [0.9489, 0.86312, 0.88588, 0.86716, 0.84452, 0.8656, 0.84108, 0.81176, 0.8336, 0.861, 0.83012]
Random Forest (accuracy): [0.95162, 0.88628, 0.91304, 0.8772, 0.84844, 0.8672, 0.86264, 0.81448, 0.84184, 0.87888, 0.85436]
AdaBoost (RF) (accuracy): [1.0, 0.92668, 0.94252, 0.92796, 0.90696, 0.92388, 0.91372, 0.8904, 0.85896, 0.91712, 0.90648]
Bagging (RF) (accuracy): [0.94394, 0.88308, 0.91092, 0.87328, 0.84664, 0.86668, 0.85888, 0.8132, 0.83496, 0.87612, 0.85428]
Neural Net (accuracy): [0.5801, 0.61488, 0.5214, 0.54632, 0.5152, 0.51312, 0.54032, 0.42104, 0.35192, 0.50012, 0.50104]
QDA (accuracy): [0.67218, 0.60864, 0.62916, 0.62416, 0.62264, 0.60212, 0.58432, 0.69612, 0.60248, 0.54628, 0.5488]
Naive Bayes (accuracy): [0.48486, 0.5344, 0.49628, 0.52228, 0.491, 0.5026, 0.53236, 0.4352, 0.52228, 0.62088, 0.56932]
Extra Trees (accuracy): [1.0, 0.91628, 0.9334, 0.9172, 0.88028, 0.89396, 0.87544, 0.84084, 0.80592, 0.88168, 0.86444]
Nearest Centroid (accuracy): [0.47018, 0.52976, 0.54216, 0.47784, 0.53336, 0.51788, 0.52208, 0.59564, 0.46484, 0.48816, 0.5266]
Nearest Neighbors (auc): [0.9368954025766486, 0.7841497739692381, 0.7056244789441224, 0.6907791737020657, 0.6640854377154881, 0.7119153134770079, 0.667157163081755, 0.6909511988658947, 0.6684515419305375, 0.7148481594603672, 0.6952356858901148]
Decision Tree (auc): [0.9480363398842769, 0.86249702704039, 0.8855083882760252, 0.8655714378843589, 0.8465433164835072, 0.8667182622604692, 0.8385044206981881, 0.8232907342593904, 0.840667252770708, 0.8610020609999008, 0.8301764337585302]
Random Forest (auc): [0.9514088532467457, 0.8852104256504396, 0.9135122030302255, 0.874590445223519, 0.8519288456120454, 0.869042144931008, 0.8594876352956815, 0.8294195020642597, 0.8513453820437877, 0.8789561525911141, 0.8544998329456561]
AdaBoost (RF) (auc): [1.0, 0.9257297057342784, 0.9432053922717231, 0.9263383735028862, 0.9092391640459644, 0.9249966565545542, 0.9114021994368287, 0.9007181611484466, 0.8776606588050455, 0.9172736304174849, 0.9066060872908163]
Bagging (RF) (auc): [0.943734544317873, 0.8820378147203338, 0.9113724745486514, 0.8706163609118922, 0.8501244173353931, 0.8684646366430825, 0.8557344159722745, 0.8280249034207238, 0.8449457129355145, 0.8761902910440347, 0.8544091313074278]
Neural Net (auc): [0.6181795100740013, 0.6039218092422544, 0.5364979878310782, 0.5318680382094298, 0.5332702785333995, 0.5231193385889835, 0.5219713438167658, 0.5068535600197805, 0.4991643364528084, 0.5022668918870269, 0.5025162472541507]
QDA (auc): [0.6349621460212486, 0.6180435907762788, 0.6189133742575121, 0.6334734724330748, 0.6104400769662395, 0.5951043385164063, 0.5972516423779877, 0.6478416420455178, 0.5214045164010498, 0.5450907609571322, 0.5479981267794884]
Naive Bayes (auc): [0.5318366082796233, 0.5208380040289476, 0.512234357889658, 0.5070949391150348, 0.5100320386689612, 0.5128381518016243, 0.5136032054164219, 0.518502578332545, 0.6303073343589545, 0.6225035076679085, 0.570597087630045]
Extra Trees (auc): [1.0, 0.9150088599656934, 0.934318362789037, 0.915272706977568, 0.8835488073176389, 0.8956750289736992, 0.8715537650597467, 0.8581765463169949, 0.8358321474571119, 0.8819733950049273, 0.8646852326750463]
Nearest Centroid (auc): [0.49080191143665, 0.5223564865259556, 0.5490614063288648, 0.47206988894345353, 0.5415391699227373, 0.5215193093762952, 0.5152707616104862, 0.609218877813707, 0.4811834639378595, 0.48865486835825134, 0.5269272312507003]
Nearest Neighbors (recall): [0.9367446924333152, 0.7948760194414697, 0.5622048463265464, 0.4949620085893624, 0.4472145275469375, 0.5248688023811389, 0.4302964690206529, 0.5110099225227674, 0.5636777928316296, 0.6039028275587416, 0.5256021694050088]
Decision Tree (recall): [0.9564870259481038, 0.8409259411813165, 0.896647828443137, 0.8149157581764123, 0.7955524776854417, 0.8143651601785854, 0.7730679546968687, 0.7581894794073671, 0.8170341175021555, 0.8605336519315014, 0.8116126973999043]
Random Forest (recall): [0.9534748684449283, 0.8481753027432243, 0.8993574359371371, 0.7913776015857285, 0.7640043090181594, 0.7827994047152815, 0.7793970686209194, 0.745072719858638, 0.8195590589974134, 0.8616487455197133, 0.8085021534535014]
AdaBoost (RF) (recall): [1.0, 0.8928247796358844, 0.9226600603855384, 0.8746283448959365, 0.8518005540166205, 0.8727187279705491, 0.8525149900066622, 0.8424629604458339, 0.8151250153959847, 0.8823576264436479, 0.8651300047854522]
Bagging (RF) (recall): [0.9457448738885864, 0.8459510668094571, 0.8978090887977085, 0.7856788899900892, 0.7623114804555248, 0.7849142320043863, 0.7758161225849434, 0.7443251325268452, 0.8115531469392783, 0.8602150537634409, 0.8119317275482533]
Neural Net (recall): [0.2455815641444384, 0.22448307109317078, 0.08392041495703337, 0.07102741988767756, 0.07787011388119422, 0.0549855095167228, 0.05579613590939374, 0.02235965746907707, 0.006774233279960586, 0.014336917562724014, 0.016908597862498004]
QDA (recall): [0.999129014697877, 0.9436526896778977, 0.9260664240922815, 0.9304592005285761, 0.9178978147122191, 0.9235529098456959, 0.9257994670219853, 0.9204159304064157, 0.7925237098164799, 0.8153723616089208, 0.8117722124740788]
Naive Bayes (recall): [0.07218290691344584, 0.05123980558530357, 0.033986219710459085, 0.022877436405682194, 0.030393967374576794, 0.03352392887914154, 0.037058627581612255, 0.048185401658284624, 0.26906022909225275, 0.2535244922341697, 0.1505024724836497]
Extra Trees (recall): [1.0, 0.8709943158415026, 0.9067895022063946, 0.8538156590683845, 0.8011695906432749, 0.815383410354821, 0.7728181212524984, 0.7602963164333288, 0.7358049020815371, 0.8152927120669056, 0.7840165895677141]
Nearest Centroid (recall): [0.2890219560878243, 0.26600214185682514, 0.34218471781373383, 0.2880740006607202, 0.33541089566020316, 0.3511396569280175, 0.34227181878747504, 0.5325540301753432, 0.426530360881882, 0.3761847869374751, 0.4192853724676982]
Nearest Neighbors (precision): [0.948099173553719, 0.7680490328743135, 0.7992515958617653, 0.8038900067069081, 0.8026515674630575, 0.8442736550333879, 0.8055815403804178, 0.8498926189668814, 0.8216337522441651, 0.7776410256410257, 0.7964708726130046]
Decision Tree (precision): [0.9510681293302541, 0.8725532096760407, 0.8841221374045801, 0.9013428336530557, 0.8936813899213415, 0.9130587512075173, 0.881492735732599, 0.9066970091027308, 0.9177504150525734, 0.8623882503192848, 0.8437111350634275]
Random Forest (precision): [0.958518788763225, 0.9114730878186968, 0.9300296213273557, 0.9462769109223781, 0.9322129377523237, 0.948107390190684, 0.9226143533123028, 0.9251476793248945, 0.9285514931621546, 0.8933850854736146, 0.8910081743869209]
AdaBoost (RF) (precision): [1.0, 0.9532102022867195, 0.9645516348332793, 0.9739722247769704, 0.96512641673932, 0.9756567425569177, 0.9636637484703003, 0.9670775471992511, 0.9619186046511627, 0.9490276706930524, 0.9437097616147555]
Bagging (RF) (precision): [0.9522069570301082, 0.9069952305246423, 0.9274632117722329, 0.9431885782272457, 0.9300600826135937, 0.9446644042232277, 0.917651694247439, 0.9234401349072513, 0.9251614714967705, 0.8894745511447867, 0.8879197557784562]
Neural Net (precision): [0.9703183252079152, 0.9271861177271181, 0.8914473684210527, 0.9014675052410901, 0.8815331010452961, 0.8677379480840544, 0.8131067961165048, 0.7870813397129187, 0.5978260869565217, 0.5960264900662252, 0.5888888888888889]
QDA (precision): [0.6271584126839491, 0.557285332036001, 0.5899003846533188, 0.5684157416750757, 0.5877512810405991, 0.5679125325113188, 0.5391890581045689, 0.6782012118784115, 0.6620537092293446, 0.5314609074862423, 0.5329353859042831]
Naive Bayes (precision): [0.9123853211009174, 0.8348993288590604, 0.7924187725631769, 0.712082262210797, 0.7610789980732178, 0.816793893129771, 0.7766143106457243, 0.8604368932038835, 0.983344586990772, 0.9677713590757069, 0.9420868696954569]
Extra Trees (precision): [1.0, 0.9525225225225226, 0.9621324133399047, 0.9717992103778906, 0.9622031235560484, 0.9725336322869955, 0.9600662114628595, 0.9611650485436893, 0.9550759392486011, 0.9412413793103448, 0.9352107316144991]
Nearest Centroid (precision): [0.5357911733046287, 0.531522633744856, 0.5998100149273986, 0.4402928553395607, 0.5900108283703303, 0.5432622394571013, 0.5036764705882353, 0.708050962320412, 0.6300372964613845, 0.48756064829152473, 0.5358271328101111]
