['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']
Nearest Neighbors (accuracy): [0.87288, 0.78704, 0.6874, 0.67888, 0.66028, 0.69736, 0.67252, 0.65368, 0.63296, 0.70756, 0.68108]
Decision Tree (accuracy): [0.9069, 0.86024, 0.81428, 0.8694, 0.84724, 0.86544, 0.84032, 0.80892, 0.83792, 0.86124, 0.83208]
Random Forest (accuracy): [0.92006, 0.88528, 0.91188, 0.87444, 0.84768, 0.86692, 0.857, 0.81428, 0.8478, 0.88012, 0.85792]
LightGBM (accuracy): [0.9480600000000001, 0.92112, 0.92936, 0.92768, 0.91076, 0.93432, 0.919, 0.905, 0.85628, 0.92248, 0.9058]
Nearest Neighbors (auc): [0.9370785736774401, 0.7882796889429936, 0.6892252107691227, 0.6736970430875455, 0.6680790793137693, 0.7009914814830301, 0.6636372652222, 0.6845936804112984, 0.6661161738203794, 0.7080642201233016, 0.6816088143560187]
Decision Tree (auc): [0.9310596585823241, 0.859568376386426, 0.8162946634414795, 0.867836244407428, 0.8492517088537944, 0.8665462221672453, 0.8377763551720856, 0.8207025238304115, 0.8437037865674141, 0.8612364335373534, 0.8321266021812066]
Random Forest (auc): [0.9792812358192424, 0.8842153717213318, 0.9123843078073619, 0.8717687133924784, 0.8512519013616985, 0.8687218419929205, 0.8536449325244583, 0.829161824741574, 0.8555392960774448, 0.8801808643015329, 0.8580410176718689]
LightGBM (auc): [0.9895079384050796, 0.9207604891373111, 0.9293935123742288, 0.9265138933177779, 0.9124045062849163, 0.9349738518459151, 0.9174378154711308, 0.9109270368348739, 0.8709736143817572, 0.9225200359878967, 0.9058415682254368]
Nearest Neighbors (recall): [0.8776995382455439, 0.8312052063596672, 0.6345126577378648, 0.5084241823587711, 0.47152970144659895, 0.5309783034385526, 0.43795802798134575, 0.5100584477368493, 0.5552407932011332, 0.593468737554759, 0.5076567235603765]
Decision Tree (recall): [0.9159147110807899, 0.836312711096466, 0.7559030734690718, 0.8179715890320449, 0.7985534010464759, 0.814756794861753, 0.7731512325116588, 0.7541796928095691, 0.8243626062322946, 0.862046993229789, 0.8167969373105759]
Random Forest (recall): [0.921321913712764, 0.8473515116566439, 0.8972671672989084, 0.7865873802444665, 0.7612342259156664, 0.7843659434479517, 0.768404397068621, 0.7451406823433465, 0.8296588249784457, 0.8663480684986061, 0.8182325729781464]
LightGBM (recall): [0.9494827191094698, 0.9083120520635967, 0.9283889448014245, 0.8893293690122234, 0.8709602954755309, 0.9043628103704864, 0.8777481678880746, 0.877463640070681, 0.8218376647370366, 0.91342094782955, 0.8921678098580316]
Nearest Neighbors (precision): [0.8901868448201824, 0.7549569771791994, 0.7259521700620017, 0.7478134110787172, 0.7904037146910873, 0.811176259423238, 0.7852769896968792, 0.838172883627429, 0.8218778486782133, 0.7714847794574446, 0.7795468462951622]
Decision Tree (precision): [0.9152508482034112, 0.8707436315292907, 0.8676026301759374, 0.9032375740994072, 0.8962777441920718, 0.9123761073590035, 0.879833206974981, 0.9053602023333606, 0.9177293294940354, 0.861703821656051, 0.8434360072475704]
Random Forest (precision): [0.9328124811829875, 0.9101849393858951, 0.9297288625060164, 0.944935013394186, 0.9334780147197584, 0.9457876841707593, 0.9207663905797825, 0.9246858395884288, 0.9283991454758459, 0.8918497868153493, 0.8896115157821713]
LightGBM (precision): [0.9560325511440709, 0.9277240218763146, 0.934465830281306, 0.9583481666073336, 0.9533395098121789, 0.964819921450656, 0.949806253942507, 0.9575762070755767, 0.9501601993592026, 0.9309197175095381, 0.9177126917712691]
