Size: 10000

['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

Nearest Neighbors (accuracy): [0.84055, 0.7599, 0.6865, 0.7075, 0.6563, 0.6561, 0.6623, 0.6377, 0.6166, 0.6699, 0.6651]

Decision Tree (accuracy): [0.88835, 0.8369, 0.8778, 0.8424, 0.8193, 0.8451, 0.822, 0.778, 0.7748, 0.8194, 0.7918]

Random Forest (accuracy): [0.9118999999999999, 0.8772, 0.9068, 0.8926, 0.861, 0.8735, 0.8423, 0.8096, 0.8307, 0.8758, 0.8477]

AdaBoost (RF) (accuracy): [0.93545, 0.9015, 0.929, 0.9157, 0.8931, 0.9063, 0.8951, 0.8614, 0.8441, 0.9093, 0.8893]

LightGBM (accuracy): [0.94185, 0.908, 0.9241, 0.9241, 0.9102, 0.9339, 0.9148, 0.8979, 0.8481, 0.9132, 0.8975]

Nearest Neighbors (auc): [0.9130911120027827, 0.7607500030014528, 0.6920075892983869, 0.7027713949588246, 0.664980005096347, 0.6596144048572145, 0.6531413113238456, 0.6692373345405336, 0.6442573103323136, 0.6718016553724587, 0.6668376837683768]

Decision Tree (auc): [0.8959171560872766, 0.8363477923314885, 0.8775324724687064, 0.8398588270631523, 0.8223198594447355, 0.8463080082125665, 0.819054383207956, 0.7940441629263166, 0.7903893900495154, 0.8198964767072591, 0.7923172317231723]

Random Forest (auc): [0.9748481964688454, 0.8763129354607629, 0.9075999473326235, 0.890323646466922, 0.8646059495763121, 0.874824521872242, 0.8383247867686613, 0.8257585002547473, 0.8402301784274889, 0.8759610912455301, 0.8481878187818782]

AdaBoost (RF) (auc): [0.9854159179174641, 0.9005872842455749, 0.929958804296593, 0.9137077920452554, 0.8962302025437155, 0.9073733763634277, 0.8923242648704135, 0.8739693995299801, 0.8596732436700758, 0.9096261658873247, 0.8897519751975197]

LightGBM (auc): [0.9866310874218817, 0.907546052289308, 0.9242274181807335, 0.922692798678381, 0.9120188959336505, 0.9343586264177343, 0.9132023586723267, 0.9046935175969343, 0.8620019943601445, 0.9132914905853817, 0.8977027702770277]

Nearest Neighbors (precision): [0.8582875770011263, 0.7335334959654719, 0.7663716814159292, 0.7655114589155954, 0.7766513056835638, 0.773936170212766, 0.7542342342342342, 0.8193709991650432, 0.7935195530726257, 0.7360298030867483, 0.7593778591033852]

Decision Tree (precision): [0.8952615780924053, 0.8485561497326203, 0.8837342497136311, 0.8909747292418773, 0.8796193848196504, 0.9051763628034815, 0.8606714628297362, 0.8962708958422632, 0.8959548447789276, 0.8465126139495442, 0.8289007092198581]

Random Forest (precision): [0.9239405978628012, 0.9056269384138237, 0.9282591414944356, 0.9451697127937336, 0.9356884057971014, 0.9440055762081785, 0.9096708343965297, 0.9253921153030945, 0.9206069160197601, 0.8872499494847443, 0.8878381350340884]

AdaBoost (RF) (precision): [0.9527161073809539, 0.9341783411162997, 0.9522954091816367, 0.9645356976201587, 0.960052968439638, 0.9658733722496632, 0.9473558267528117, 0.9530187924830068, 0.9441826748822036, 0.9302229562345169, 0.9298016132548507]

LightGBM (precision): [0.9513409477870415, 0.9219812925170068, 0.9328055609190964, 0.9568539325842697, 0.9507685916078106, 0.9598919368246052, 0.9424460431654677, 0.9557044481667597, 0.9426728771049803, 0.9206158768246351, 0.9160636758321273]

Nearest Neighbors (recall): [0.8506491619189166, 0.7993865030674847, 0.5782144219763449, 0.5676683937823834, 0.482626956853761, 0.45763711421269904, 0.4371345029239766, 0.4974653599188915, 0.5496053242532116, 0.5450246305418719, 0.49306930693069306]

Decision Tree (recall): [0.9028278424572702, 0.8112474437627812, 0.8830599008012209, 0.7672538860103627, 0.7588774341351661, 0.7768822488696678, 0.7495822890559732, 0.706657654613045, 0.737037610277047, 0.7867980295566502, 0.7405940594059406]

Random Forest (recall): [0.9152821402031212, 0.8359918200408998, 0.8910721098817246, 0.8252849740932643, 0.7888507063764796, 0.798702575191665, 0.7445697577276524, 0.7377492396079757, 0.8076149202909766, 0.8652216748768473, 0.7994059405940594]

AdaBoost (RF) (recall): [0.9288259433572785, 0.8591002044989775, 0.9101487981686379, 0.8567875647668394, 0.8304696449026346, 0.8456850796147042, 0.826858813700919, 0.8055086177762758, 0.8063767218696796, 0.8878817733990148, 0.8445544554455445]

LightGBM (recall): [0.9425518124019486, 0.8869120654396728, 0.921594811140786, 0.8824870466321244, 0.8738067964872088, 0.9080007863180657, 0.8755221386800334, 0.8676917877661372, 0.8144250116081102, 0.907192118226601, 0.8774257425742574]

